---------------------------END-----------------------
Comportamiento de Instrucciones
Instruction    InOrder        OutOfOrder     
L.D            1              1              
L.D            2              2              
MUL.D          3              4              
SUB.D          4              5              
ADD.D          5              6              
ADD.D          6              1              
S.D            7              3              
ADD.D          8              3              
---------------------------END-----------------------
